mi_quality,transcript_id,interlocutor,utterance_text,client:_talk_type
high,1,client:,"Well, I-I like beer. I like the way it tastes, I like the way it makes me feel. Uh, like when I'm around friends and it's not a problem for me.",sustain
high,1,client:,"Well, that was fine until I came here, uh, but now that I know about the health risk, uh, I have something I gotta think about.",change
high,1,client:,E-exactly.,change
high,1,client:,"Hmm, I'm not sure. Uh, something I have to think about.",neutral
high,1,client:,"Uh, I don't know. Maybe if I got sick or something, uh, maybe I'd wanna change things then.",neutral
high,1,client:,Yeah.,neutral
high,1,client:,Sounds good.,neutral
high,2,client:,"Well, doc, I know you told me that I need to lose weight. And even though the scale didn't show today, I was able to lose about 5 pounds, but then I gained it right back.",neutral
high,2,client:,"No, by all means. I know we have to discuss it.",neutral
high,2,client:,"I started watching what I ate and I ate less. I've been eating more fruits and vegetables. I've also been walking a lot. I'm walking up to 20 minutes a day now. I saw the weight come slowly off, um, and I felt better. But then when I watched it come back on again, you know, I gave up.",change
high,2,client:,I felt great and I felt really proud of myself. I thought that this was something that I could do.,change
high,2,client:,"Well, I think it's because I've been eating more fruits and vegetables, that- that's it.",sustain
high,2,client:,"To be honest, I have four or five -- four to six glasses of orange juice a day. Um, I have fruit for lunch and breakfast. I have, uh, usually one to two servings of a vegetable like lettuce or broccoli with thinner.",neutral
high,2,client:,"No, I didn't know. Um, but doesn't the fruit- food pyramid classify, um, fruit juice as a- a serving?",neutral
high,2,client:,"Well, this changes quite a bit. I mean, here I'm thinking that my fruit intake is making me healthier and actually it's making me fatter.",change
high,2,client:,"Obviously, I need to cut back on the fruit juice. But boy, do I love that OJ.",change
high,2,client:,"Um, six or seven.",change
high,2,client:,I guess it's because I know that I need to do it to lose the weight.,change
high,2,client:,Yes.,change
high,2,client:,"Getting the fruit juice of the house because I know if it's there I'll drink it. My wife does the shopping for us, so maybe if I ask her not to get the juice, that would solve it.",change
high,2,client:,"I suppose I could replace it with, um, a low-calorie drink or drink more water.",change
high,2,client:,"I'd say I didn't have any and I substituted it with, um, sugar-free drinks.",change
high,2,client:,A 10.,change
high,2,client:,Great. It sounds good to me.,change
high,2,client:,Okay.,neutral
high,13,client:,"Oh, I-I don't know if I'm comfortable with that. I've been reading a bunch of stuff lately about them.",sustain
high,13,client:,"Uh, yeah, well, I was just- I was reading that it's better to let them build up their immunity, like, naturally and stuff in their immune systems.",sustain
high,13,client:,"Well, yeah. I mean, I had chickenpox as a kid, and now I'm immune. Right? So.",sustain
high,13,client:,"Uh, okay.",neutral
high,13,client:,"Wow, I didn't realize it was so dangerous. I've never heard of polio.",neutral
high,13,client:,"Uh, I guess it's okay. I mean, I just I want her to be healthy and safe.",change
high,13,client:,"Yeah, I just want to do what's right.",change
high,16,client:,"Oh, it's a nice place. It's close to work. It's good living with a mate.",neutral
high,16,client:,Yeah.,neutral
high,16,client:,"That's the thing, isn't it? I am-- I don't know if it's the best place for me to be if I'm gonna make those changes.",change
high,16,client:,And Tristan is a good flatmate.,sustain
high,16,client:,"I have no-- We're going in different-different directions now. He doesn't have the same kind of responsibilities I have and stuff, and so-- And I can't expect him to change his whole life around, just because I wanna change mine.",change
high,16,client:,"I just-- I don't know how keen I am to move in with my- with my aunty and uncle, though.",neutral
high,16,client:,"I sit down and talk with him, asked him for, um, for support and stuff and he's fully, he says fully he'll be there for me. But, like I said, he's, um, he's in a different place in his life than I am in mine.",change
high,16,client:,He doesn't have kids.,neutral
high,16,client:,"He doesn't-- I don't know if he can really understand what it means to me. Um, he's a good mate.",neutral
high,16,client:,"The food would be good. Um, I get- I get support with-- my whÃÂÃÂÃÂÃÂnau is really supportive, but I'm- I'm worried about losing- I'm worried about losing my freedom. I'm worried about, um, about them taking over, or, you know what I mean? I have a freedom where I am now, I'm in charge of myself. That would probably be really good.",neutral
high,16,client:,"I don't wanna hang on to freedom if it this- if it means that I lose my kids. Um, I'm just, uh, I'm just worried about-- I'm worried about if I move in with family, that they, even if their intentions are good-",change
high,16,client:,I don't know. I'll do anything to get my kids back.,change
high,20,client:,"Well, um, It's just me and him and I do smoke. Um, I try really hard not to smoke around him, but I-I've been smoking for 10 years except when I was pregnant with him. But it-- everything is so stressful being a single mom and-and my having a full-time job. And so it's just-- that's why I started smoking again.",sustain
high,20,client:,Yeah. Some people have a glass of wine. I have a cigarette.,sustain
high,20,client:,"I know it's not good for him. I mean, I've read those things about ear infections and asthma and stuff and-and, uh, but other kids have ear infections and their parents don't smoke.",change
high,20,client:,"Right. Yeah. I mean, he doesn't have asthma. Yeah. He-- I don't-- he hasn't had a lot of other problems that his other friends have, so. And I've thought about quitting before in the past, but I just don't- I just don't see how it's possible right now.",sustain
high,20,client:,"Well, he was inside me and we were sharing everything and I knew that he would get some of that. And I didn't-- I just didn't-didn't think I could live with myself if something happened to him.",neutral
high,20,client:,"Yeah, exactly.",sustain
high,20,client:,"I don't know. I-I think about it now, I don't even know how I did it. I just- I just did it. You know, I just- I just couldn't imagine like him not being born or going into labor early-",neutral
high,20,client:,"-and-and him having problems and stuff like that, all the stuff that they talk about with women who smoke. So I-- that was just enough to-to say, ""Okay, you know what, I'm-I'm not going to risk that."" so.",neutral
high,20,client:,Yeah.,neutral
high,20,client:,"No, I mean, we're two separate people. And like I said, I don't, I try really hard not to smoke around him. I'm pretty good about that. I-I don't let other people smoke around him. Um, so I, you know.",change
high,20,client:,Yes.,neutral
high,20,client:,"Yeah. I-I know that I need to, and I, you know, keep every new year I say, ""Okay, this year I'm gonna quit smoking"" but then something happens and it-it just doesn't. And quitting doesn't happen.",change
high,20,client:,Yeah.,neutral
high,20,client:,"Probably like a 5 . Kind of in the unsure area. Like I know I've done it before, so I know I can do it, but at the same time, it just seems really hard. And it's not the same situation.",sustain
high,20,client:,"I know- I know all the ways it's bad for me. And I don't want him to grow up thinking that it's okay to smoke. I don't want him to-to use any kind of-- I don't want him to chew or anything like that. Um, so I know I need to, especially before he gets old enough to understand what mommy's doing, but I just don't know if I can do it.",change
high,20,client:,Yeah.,neutral
high,20,client:,I don't know. I-I'd like some help. I just don't know what kind of help I need.,change
high,20,client:,I don't like medicine.,neutral
high,20,client:,"That sounds nice, but I'm not sure if I have the time for all that.",neutral
high,20,client:,That would be really nice.,neutral
high,20,client:,I would like that. That would be great.,neutral
high,20,client:,Thank you.,neutral
high,26,client:,"I just want my call, that's it.",neutral
high,26,client:,[scoffs] Yeah.,neutral
high,26,client:,"I don't know. Some of-- One of the officers, it's like he has it out for me or something. I don't- I don't know what it is. Something about me not making my bed, something about my attitude. I don't know, I just want my call, man.",neutral
high,26,client:,"I just wanna contact my mom, that's it.",neutral
high,26,client:,My dad's birthday is tomorrow.,neutral
high,26,client:,And I just wanted my call so I can talk to my mom. That's it.,neutral
high,30,client:,"I don't know, and I still don't wanna charge it.",sustain
high,30,client:,"No. I got a lot of stuff to do, I don't need to charge it.",sustain
high,30,client:,No.,sustain
high,30,client:,I guess so. I don't know. I-I-I honestly don't care what the consequences are.,sustain
high,30,client:,Sure. I'll listen.,neutral
high,30,client:,Whatever.,sustain
high,30,client:,No. I just-- I don't care.,sustain
high,30,client:,It really [unintelligible 00:00:58]-- I don't care.,sustain
high,30,client:,Nope.,sustain
high,30,client:,"Yeah, whatever. I Know you got to do your job, but I don't care.",sustain
high,30,client:,"I mean, whatever happens happens. I'll deal with it when it happens.",sustain
high,30,client:,"I mean, I'll just deal with it when it comes.",neutral
high,30,client:,"Yeah, I guess so.",neutral
high,30,client:,Okay.,neutral
high,35,client:,"Hi, Dawn. Nice to meet you.",neutral
high,35,client:,Thanks for having me.,neutral
high,35,client:,"So I am, um, 28. And I moved out to Arizona about six months ago. Um, I really enjoy spending time with my family and hanging out with friends whenever I can. Work keeps me pretty busy. Um, But I'm really, um, looking to kind of make some changes to my diet and physical activity. I'm not really happy with where my weight's at right now, and, uh, so I thought it'd be good to come and talk with you about some of that stuff.",change
high,35,client:,"Yeah. Um, I'm really starting to notice how I feel more sluggish and just not-- My mood is shifted a lot too, which at first, I thought was because it's getting colder outside, um, but I do also think it maybe has some relation to my activity, or lack thereof, and also kind of the foods that I'm eating.",change
high,35,client:,Right. Yeah. Especially during times when I'm more active is when I noticed the biggest cha-change in energy and mood.,change
high,35,client:,"Yeah. Um, well, I played sports in college, so that kept me pretty busy, and that was really fun, um, and I just think back now to, as much that I would cram into a 24 -hour period, and like, wonder how I did that, but I think that part of it was because I was so active physically, um, I just had way more energy throughout the day, mentally and physically to, um, you know, go to school full-time and-and still socialize with friends and do all that stuff. Um, so when I think back to like, probably like the peak of my life of when I felt my best physically, mentally it was that time.",change
high,35,client:,"Yeah, yeah, exactly. And now it's not so much the same. Um, like when I get home from work, I'm pretty exhausted, uh, it takes a lot for me to want to be physically active when I've spent all day staring at a computer and thinking and working. And so, um, yeah, that's probably been my biggest, uh, issue is like when work ends, going home and not really doing anything. Um, just trying to like unwind by watching Netflix or something else, right?",neutral
high,35,client:,"Um, well, I think part of it is that when I was in college, it wasn't really an option to go, like, I had to go to practice or I had to do those things because that was, in a sense, my job that was paying for school, um, and now there's not that same commitment to other people or to scholarship money. So that definitely has shifted, um, but I-I do feel like a-an urgency to go it just doesn't seem that like the step that's missing is for me to actually go to a gym or somewhere to be more active. Like, I think I want to it's just the doing it that seems to not happen.",change
high,35,client:,Mm-hmm.,neutral
high,35,client:,"Yeah, yeah, I think so. Um, that's not to say like, I wanna go run a marathon but I do think that it would help me a lot in terms of just having a better outlook on life, um, and better energy to- if I were to pick up some type of activity.",change
high,35,client:,Mm-hmm.,neutral
high,35,client:,"Just, I'm-I'm just happier and more upbeat and I think that even my outlook is more positive. So like, if I'm sitting in traffic, and I haven't been physically active, I'll probably grumble about it but if I'm sitting in traffic, and I have been, it's like, I just have a different outlook on things and I already feel like I've gotten something accomplished that day. So it just kind of like helps with that ripple effect into my day of like getting more things done.",change
high,35,client:,"Mm-hmm. Yeah, exactly.",change
high,35,client:,"Yeah. And then also to, um, like I mentioned, I'm not totally happy with my weight, um, and so hoping too that that would have some impact there and-and maybe help me, um, if my activity kind of gets resolved or improves, then my nutrition also, maybe would go along with it and get better.",change
high,35,client:,"Uh, probably about three, four months ago. Um, yeah, just my clothes started fitting tighter, which wasn't as comfortable, and, um, yeah, just not really super happy with my appearance, which has never really been an issue, um, in my life up until now. I've usually been pretty okay with that, and then in the last three months, I just feel, um, like I've had a lot more of a negative outlook on it.",change
high,35,client:,"Yeah, I think- I think the activity piece and then also to like, the foods that I'm eating, I don't think are that great. So that also kind of does the same thing, I think, to my appearance or the way that I viewed myself.",change
high,35,client:,Mm-hmm. Yeah.,change
high,43,client:,"Um, well, you know, I have a lot of anxiety, and so there's this test that I have to take. It's a big test and I've kind of been putting it off just 'cause I get very anxious. I don't trust in myself that I'm going to do good at it. Um, and so that's something that's like always on my mind, it's been on my mind for many years and it's like, I gotta just do it. Um, but I always stop myself from doing that because of the anxiety. And I just want to, I don't want to feel that way.",change
high,43,client:,Yeah.,neutral
high,43,client:,"Exactly. So, I just avoid it and put it off.",neutral
high,43,client:,"Um, maybe like a four or five.",neutral
high,43,client:,"I mean, because I-I have it set up after like so many years, so I still have a ton of anxiety about it, but I think I'm like kind of making it, maybe that first step. And so that's why I would rate it as like a four or five because I'm making that first step, but it's still scary for me.",change
high,43,client:,Yeah.,neutral
high,43,client:,"Yes. And I already kind of put it off after s-scheduling it too. So, um, now I'm actually enjoying that because I-I already like changed date and everything. So now it's actually coming.",neutral
high,43,client:,Yes.,neutral
high,43,client:,"Um, well I think it's this kind of long time coming. I just need to do it and then I can figure out, if I don't pass, I have to wait three more months to do it. And then I just study for the next three months. And if I do, then I can have that weight lifted off my shoulders cause it's been all a lot of weight on me and I think about it every single day. And I'm just sick of thinking about it.",change
high,43,client:,"Yeah. But then I do worry, you know, that negative talk that, you know, when you have anxiety. So then I worry about if I don't pass it, you know, like people are going to ask me how I did and if I don't pass it I'm gonna have to tell them, it's embarrassing for me. Um, so that makes me really anxious.",neutral
high,43,client:,Right.,neutral
high,43,client:,"Uh, I would say maybe like four or five years ago, um, I had to do a recording for work and I did not want to do it. I was trying to find every way that I can get out of during this recording. And, um, and then I played my recording and because of the way sometimes I carry myself, like not confident and very anxious, um, I think other people don't always believe in me.",neutral
high,43,client:,"And so, um, when I played the recording, it actually ended up being one of the best recordings and like my supervisor and our national consultant, they were very like shocked about it because it because of just was the way I carried myself. So I thought, I don't really like compliments that makes me, um, anxious too again people compliment me, but it was a nice feeling because I really didn't trust in myself. And to know that I did a good job.",neutral
high,43,client:,"Um, it made me feel good.",neutral
high,43,client:,"Yeah, I did.",neutral
high,43,client:,Yeah.,neutral
high,43,client:,"I mean, I think again, like all that anxiety, the same anxiety I had with that I have with those tests. And so, um, but that if I pass this test, if I could have that same feeling that I had, like when I did a good job like the-- you know, I mean, I would like to have that feeling again.",change
high,43,client:,You know.,neutral
high,43,client:,Right,neutral
high,43,client:,Yeah.,neutral
high,43,client:,"Well, considering this test is coming on the way in a few days, um, I think, for me and just like practicing and just really seeing how I do and if I do well, then I think my confidence might go up a little bit.",change
high,43,client:,"And maybe just having that faith in myself that, you know, that I can do it instead of just thinking that I can't.",change
high,43,client:,Yeah. Mm-hmm.,change
high,43,client:,Yeah.,change
high,43,client:,Thank you.,neutral
high,45,client:,Fine. Where do you want me to sign?,neutral
high,45,client:,Not really.,neutral
high,45,client:,"Yeah, whatever. I just, yeah.",neutral
high,45,client:,"It's just like the same thing every day like, I don't really know why. Like um, so I signed your paper, why are asking me all these questions?",neutral
high,45,client:,Yup.,neutral
high,45,client:,I guess so.,neutral
high,45,client:,So you just wanna know my business?,neutral
high,45,client:,Mm-hmm.,neutral
high,45,client:,Mm-hmm.,neutral
high,45,client:,Mm-hmm.,neutral
high,45,client:,Yeah. I mean I guess I'll be here if I have to be but I can't make any promises that I won't leave.,neutral
high,45,client:,"No, 'cause this just kinda feels like why do you need to know my business? Why do you care?",neutral
high,45,client:,Mm-hmm.,neutral
high,45,client:,It's just like a lot.,neutral
high,45,client:,And you feel like there's all these rules.,neutral
high,45,client:,Mm-hmm.,neutral
high,45,client:,"Right, I think that's the only thing that I wish I had now.",change
high,45,client:,Mm-hmm.,neutral
high,45,client:,I guess like your sign your papers.,change
high,45,client:,Mm-hmm.,neutral
high,45,client:,Not do this again so that I don't ever have to be here and be stuck in my house and all of these people coming to visit me and know my business.,change
high,45,client:,Yup.,neutral
high,45,client:,Mm-hmm.,neutral
high,45,client:,Not really.,neutral
high,45,client:,Bye.,neutral
high,46,client:,No.,neutral
high,46,client:,Sure.,neutral
high,46,client:,Yeah.,neutral
high,46,client:,"It's not a big deal. Sometimes with my friends, we'll drink a few beers and when we're hanging out or when we're at a party, and sometimes rum and cokes.",sustain
high,46,client:,"Um, three or four, probably. I don't keep track.",sustain
high,46,client:,"Um, probably about once or twice a month.",neutral
high,46,client:,Probably since last October.,neutral
high,46,client:,What do I like about it?,neutral
high,46,client:,"Um, I don't know. It's just fun to drink with my friends, like when we're at a party at someone else's house, and we're drinking with other people that we don't know. It tastes good.",sustain
high,46,client:,Mm-hmm.,neutral
high,46,client:,"Um, I don't like when I get sick in the mornings 'cause of hangovers and-",change
high,46,client:,"-when I start throwing up, that's not- I don't like that.",change
high,46,client:,"No, but that happened to someone I know, though.",neutral
high,46,client:,"Um, one time I missed first period of school 'cause I had a hangover and I was late getting up.",change
high,46,client:,"Mm, mom got mad at me 'cause I wouldn't get out of bed and she said she knew I had a hangover.",change
high,46,client:,"No, but I got grounded for two weeks after that. [chuckles]",change
high,46,client:,"Yeah, but I only missed school once.",sustain
high,46,client:,Yeah.,neutral
high,46,client:,Okay.,neutral
high,46,client:,"Um, probably a five.",neutral
high,46,client:,"Well, I guess I'm just tired of getting in trouble.",change
high,46,client:,"Um, not drink.",change
high,46,client:,"No, not really.",sustain
high,46,client:,I could probably do that.,change
high,46,client:,I don't know.,neutral
high,46,client:,"Yeah, probably.",change
high,46,client:,"Um, I could probably drink something else when my friends are drinking, like just coke.",change
high,46,client:,I can probably hang out with some of my friends who don't drink or inviting them to parties and having fun 'cause not everyone drinks at parties.,change
high,46,client:,"Yeah. The-- My friends who don't drink would probably be happy that I'm not drinking either and yes, they'd support me.",change
high,46,client:,Okay.,neutral
high,47,client:,Fine.,neutral
high,47,client:,It's not really any of your business.,neutral
high,47,client:,Mm-hmm.,neutral
high,47,client:,Hmm.,neutral
high,47,client:,Okay.,neutral
high,47,client:,Okay.,neutral
high,47,client:,Okay.,neutral
high,52,client:,You're welcome.,neutral
high,52,client:,"Well, a friend and I would snuck out one night to go to the park, and we got a couple of beers from his house, but the cop came by, and so we threw them in the bushes. He was originally gonna give us a curfew ticket but ended up not to. Luckily, he didn't see the beer.",sustain
high,52,client:,"Yeah, it was. If my mom would have found out, she would've killed me.",neutral
high,52,client:,"Well, I've only tried drinking once or twice.",neutral
high,52,client:,"Yeah, that's right.",neutral
high,52,client:,"Well, I'm not sure if this information is for me, since I've only been drinking once or twice.",sustain
high,52,client:,"Well, all I really know is that it's not good for you.",change
high,52,client:,"Yeah, and a couple of my friends drink too.",sustain
high,52,client:,I really didn't think about how this would affect me playing sports.,change
high,52,client:,"Yeah, I would like to play soccer in college.",neutral
high,52,client:,"Yeah, I would also like to get scholarships.",neutral
high,52,client:,Yeah.,neutral
high,52,client:,"Well, I will take a look at it, and I'll definitely read it, and I don't wanna become addicted, and I would like to continue to play sports as long as possible.",change
high,52,client:,Thanks for all the information.,neutral
high,63,client:,Definitely.,neutral
high,63,client:,Okay.,neutral
high,63,client:,I do some meth.,neutral
high,63,client:,"Snort it, always snort it.",neutral
high,63,client:,Mm-mm.,neutral
high,63,client:,"Just, you know, some alcohol.",neutral
high,63,client:,Meth?,neutral
high,63,client:,"Um, two, three times a month.",neutral
high,63,client:,Right.,neutral
high,63,client:,Right.,neutral
high,63,client:,"Yeah, it could be because, uh, I was high when I had unprotected sex and I would not do that if I were not high.",change
high,63,client:,"Definitely, yeah.",change
high,63,client:,Yeah.,change
high,63,client:,"No, I mean, no. I mean, like I said, I only do it in clubs, you know, with my friends, uh, two or three times a month at-at the most. Um, uh, I don't think it's really having other impacts. But I'm-I'm concerned about this one. I never expected to get gonorrhea.",change
high,63,client:,"I-I understand but it's I think that would be a hard thing for me to do. You know, I mean, I know I should but, I mean, that's like my whole social life. You know, I mean, all my friends go to these clubs. That's where- that's where I see them. You know, that's my sex life basically and, uh, meth is just- it's just a part of it. You know, I mean, everyone is doing it there. You know, so it's while I would like to stop it's-it's kind of hard to think about doing that right away.",sustain
high,63,client:,"Yeah, I don't think it would be easy but I'm not saying that I'm not willing to try.",change
high,63,client:,Mm-hmm.,neutral
high,63,client:,Mm.,neutral
high,63,client:,"Uh, three.",sustain
high,63,client:,"I mean, this has been really uncomfortable, you know, gonorrhea is a really bad experience. And, uM, I know I don't think the same, you know, when I'm- when I'm on it. And, uh, I mean, what I have is bad enough, I could easily get AIDS. I could get HIV the same way. So that scares me a lot. That's why it's higher than a one or two.",change
high,63,client:,"Well, I do just snort it but you don't know what it's cut with, you know, there could be something, you know. It could be really bad, um, if it was cut with something dangerous or something. I mean, I-I worry about that sometimes.",change
high,63,client:,Yeah.,change
high,63,client:,"Something else to do on weekends, you know, different social life.",change
high,63,client:,"It's the hard thing, I mean, almost everybody I know uses it.",sustain
high,63,client:,My sister.,neutral
high,63,client:,"I haven't really talked to her about it. I think she knows it I do it sometimes. I mean, we're pretty close. I think I could talk to her about it, and I think she would probably help.",change
high,63,client:,Yes.,neutral
high,63,client:,Yes.,change
high,63,client:,Okay.,neutral
high,63,client:,"Yeah, sure.",neutral
high,67,client:,Mm-hmm.,neutral
high,67,client:,Something like that.,neutral
high,67,client:,"Uh, I vape. I have a pen, but I don't smoke it though.",neutral
high,67,client:,"Um, a few times a month.",neutral
high,67,client:,"I did a peppermint oil once, someone shared it with me.",neutral
high,67,client:,Mm-hmm.,neutral
high,67,client:,"Well, I don't think it's going to hurt me.",neutral
high,67,client:,"Um, I don't know. It makes me relax, and it's fun to laugh with my friend.",neutral
high,67,client:,"Well, I don't want to get in trouble like at school.",neutral
high,67,client:,"Well, I can get suspended and I would get kicked off the team, the basketball team.",neutral
high,67,client:,Right.,neutral
high,67,client:,"well, I was thinking to not use when basketball season start.",neutral
high,67,client:,"Well, I play better when I'm not high.",neutral
high,67,client:,"Well, I wouldn't get caught with using a pen, so I wouldn't get kicked off the basketball team.",change
high,67,client:,For about a month.,change
high,67,client:,"Um, seven.",change
high,67,client:,"Well, I'm pretty sure, um, I can stop using for a month. I want to play well.",change
high,67,client:,"Uh, I don't know.",neutral
high,67,client:,"Well, if I'm stressed or unhappy, that's when I usually wanna vape.",change
high,67,client:,"Hmm, I like to play video games.",change
high,67,client:,I can play basketball with my friend Sarah.,change
high,67,client:,Yeah.,change
high,67,client:,Mm-hmm.,change
high,70,client:,"Yeah, I do, just a couple of minutes though.",neutral
high,70,client:,"Um, nothing specific. I just am unfamiliar with the medication.",neutral
high,70,client:,"Okay. Uh, what about side effects?",neutral
high,70,client:,"Um, what about does it interact with phenelzine?",neutral
high,70,client:,"Oh, sure.",neutral
high,70,client:,Thank you.,neutral
high,77,client:,[signs] Kind of slow.,neutral
high,77,client:,Yeah.,neutral
high,77,client:,"Oh, they have me doing all kinds of things in different machines and stuff. Yeah, it hurts.",neutral
high,77,client:,"Well, just about every joint like especially my knees. They're really-- They have me doing some leg things that-that-that is it really necessary?",neutral
high,77,client:,Okay.,neutral
high,77,client:,I wanna go home.,neutral
high,77,client:,"Everything. I wanna- I wanna, play with my dog. I miss my dog. I wanna cook for myself. I'm a very independent person and I wanna do things for myself.",neutral
high,77,client:,"Um, I guess the rehab.",neutral
high,77,client:,Not really.,neutral
high,77,client:,"Oh, yeah.",neutral
high,77,client:,"Uh, I have.",neutral
high,77,client:,"I have a friend who, uh, does it and she just raves about it. She loves it.",neutral
high,77,client:,"Absolutely. I do not want to fall, for sure.",change
high,77,client:,"Well, I-I hadn't really thought about it, but yeah I guess, I guess.",neutral
high,77,client:,"Like I said, my friend talks about it and-and it's very pretty. I've seen pictures, you know.",neutral
high,77,client:,"Well, I don't see how I could do it. I-I'm still in a walker, you know.",sustain
high,77,client:,I could?,neutral
high,77,client:,And you really recommend this?,neutral
high,77,client:,You do Tai Chi?,neutral
high,77,client:,"Oh, okay. Well, yeah. Um, listen, anything that's going to get me home and if you do it and you recommend it, I'll try it.",change
high,77,client:,"Okay, okay.",neutral
high,81,client:,Okay. I guess I've been getting bigger.,neutral
high,81,client:,"Uh, scary I guess.",sustain
high,81,client:,"Yeah. I-I know there's something in there, I just don't know much about him.",neutral
high,81,client:,"I know you want me to see the doctor, I haven't called yet.",sustain
high,81,client:,I don't know. It seems overwhelming to me.,sustain
high,81,client:,"Well, I hate making phone calls and I know I need to fill out all this paperwork. I don't know how to get there and I hate needles.",sustain
high,81,client:,Yes.,neutral
high,81,client:,Can you help me make the call?,change
high,81,client:,Can you go with me to the appointment.,change
high,86,client:,I just feel helpless about this whole deal.,neutral
high,86,client:,Mm. I just feel helpless about this whole deal.,neutral
high,86,client:,No one wants to help me.,neutral
high,86,client:,No one wants to help me.,neutral
high,86,client:,Mm-hmm. I really shouldn't have done it.,neutral
high,86,client:,Mm-hmm. I really shouldn't have done it.,neutral
high,86,client:,Mm-hmm. I couldn't help myself.,neutral
high,86,client:,I couldn't help myself.,neutral
high,86,client:,It's actually been a fabulous week.,neutral
high,86,client:,It's actually been a fabulous week.,neutral
high,86,client:,"Mm-hmm. I know who to hang out with, I'm not stupid.",neutral
high,86,client:,"I know who to hang out with, I'm not stupid.",neutral
high,86,client:,Mm-hmm. I'm letting the whole family down. They had such high hopes for me.,neutral
high,86,client:,Mm-hmm. I'm letting my whole family down. They had such high hopes for me.,neutral
high,86,client:,Mm-hmm. This is not what I want for my life.,neutral
high,86,client:,This is not what I want for my life.,neutral
high,86,client:,Mm-hmm. I really want to get off the program.,sustain
high,86,client:,I really want to get off the program.,sustain
high,86,client:,"Mm-hmm. I still crave smoking, even though I've stopped.",sustain
high,86,client:,"I still crave smoking, even though I've stopped.",sustain
high,86,client:,Mm-hmm.,neutral
high,95,client:,"Um, okay. Just, I don't even know why I'm doing this anymore. I'm-I'm just so stupid. I'm such an idiot. I didn't know what the point of-of this is. I just- I just keep doing the same thing over and over, even though I know it can kill me. I just, I don't have any more willpower, ma'am. Yeah, [foreign language].",sustain
high,95,client:,Mm-hmm.,sustain
high,95,client:,"No, it just seems that cutting myself is the only way out. And I just get suicidal thoughts and [foreign language], I'm just very, very like depressed and what's going on at home.",sustain
high,95,client:,Yeah.,sustain
high,95,client:,"Yes. Sometimes a pain in-in the body. It's, uh, to [unintelligible 00:01:27] handle and-and the pain inside of me.",sustain
high,95,client:,Yes. I am.,sustain
high,95,client:,"Yeah, yeah, suicide.",sustain
high,95,client:,[foreign language],neutral
high,95,client:,"Yeah, 'cause she's a single mom and she struggles a lot. I wanna help her, but I can't help her. So it just makes me sad. I feel like if I don't live anymore, she'll be okay. And she wouldn't have to worry about me or pay my stuff.",sustain
high,95,client:,Yeah.,sustain
high,95,client:,I-I think so?,neutral
high,95,client:,Because it won't be a burden to her.,sustain
high,95,client:,"Because she has to pay for my food and my uniforms, um, to have a roof over our heads.",sustain
